Date,"6000-6999","7000-7999","8000-8999","9000-9999","10000-10999"
2021-10-01,841.22,1015.51,978.752,934.485,766.813
2021-10-02,840.945,1015.24,978.482,934.223,766.643
2021-10-03,840.254,1014.35,977.66,933.456,766.169
2021-10-04,839.494,1013.45,976.75,932.546,765.268
2021-10-05,838.396,1012.11,975.398,931.16,763.985
2021-10-06,836.286,1009.33,972.781,928.77,762.3
2021-10-07,834.218,1007.15,970.579,926.553,760.086
2021-10-08,833.69,1006.37,969.835,925.843,759.557
2021-10-09,833.253,1005.81,969.308,925.36,759.145
2021-10-10,832.243,1004.72,968.236,924.315,758.109
2021-10-11,831.434,1003.67,967.254,923.43,757.537
2021-10-12,829.205,1000.99,964.665,920.958,755.563
2021-10-13,828.472,1000.01,963.746,920.116,754.919
2021-10-14,828.253,999.756,963.48,919.833,754.578
2021-10-15,826.072,996.99,960.876,917.399,752.693
2021-10-16,824.703,995.301,959.26,915.859,751.462
2021-10-17,823.519,993.765,957.77,914.401,750.193
2021-10-18,821.381,990.965,955.091,911.869,748.036
2021-10-19,819.446,988.564,952.768,909.616,746.152
2021-10-20,818.788,987.684,951.936,908.865,745.613
2021-10-21,817.364,985.924,950.271,907.301,744.446
2021-10-22,816.215,984.249,948.704,905.801,743.393
2021-10-23,814.957,982.548,947.102,904.325,742.288
2021-10-24,813.479,980.311,945.034,902.395,741.128
2021-10-25,810.868,977.193,942.047,899.557,738.885
2021-10-26,804.272,969.026,934.231,892.114,732.865
2021-10-27,800.056,964.235,929.593,887.627,729.088
2021-10-28,797.173,960.681,926.145,884.48,726.716
2021-10-29,794.862,957.63,923.26,881.781,724.713
2021-10-30,791.842,953.48,919.339,878.076,722.053
2021-10-31,789.415,950.299,916.318,875.237,720.053
2021-11-01,786.93,946.65,912.846,871.978,717.972
2021-11-02,784.846,944.059,910.391,869.691,716.199
2021-11-03,782.883,941.194,907.741,867.287,714.695
2021-11-04,780.515,938.313,904.981,864.685,712.485
2021-11-05,778.977,936.37,903.116,862.906,710.856
2021-11-06,778.239,935.23,902.049,861.91,710.191
2021-11-07,776.672,933.394,900.24,860.136,708.615
2021-11-08,775.97,932.334,899.249,859.209,707.972
2021-11-09,772.714,928.44,895.524,855.695,705.253
2021-11-10,767.64,922.613,889.931,850.315,700.488
2021-11-11,763.775,917.865,885.359,845.862,696.615
2021-11-12,760.172,913.286,881.001,841.756,693.46
2021-11-13,758.479,911.062,878.907,839.818,692.043
2021-11-14,755.217,906.756,874.823,835.936,689.123
2021-11-15,749.581,900.376,868.629,830.124,684.087
2021-11-16,748.858,899.406,867.716,829.27,683.406
2021-11-17,746.667,896.755,865.137,826.775,681.325
2021-11-18,741.413,890.218,858.857,820.748,676.556
2021-11-19,735.333,883.212,852.057,814.233,670.806
2021-11-20,731.211,878.701,847.667,810.082,667.016
2021-11-21,728.506,875.534,844.586,807.139,664.463
2021-11-22,725.193,871.056,840.4,803.201,661.525
2021-11-23,720.716,865.587,835.185,798.269,657.668
2021-11-24,717.01,860.492,830.367,793.778,654.355
2021-11-25,712.341,854.572,824.663,788.306,649.752
2021-11-26,707.145,848.503,818.801,782.691,644.926
2021-11-27,703.211,843.882,814.327,778.375,641.197
2021-11-28,699.539,839.601,810.166,774.408,637.657
2021-11-29,694.785,833.896,804.701,769.263,633.166
2021-11-30,691.31,829.457,800.453,765.262,630.124
2021-12-01,686.661,823.423,794.693,759.84,625.695
2021-12-02,682.117,817.999,789.527,755.053,621.789
2021-12-03,676.844,811.56,783.383,749.319,617.454
2021-12-04,671.059,804.537,776.715,743,612.305
2021-12-05,667.55,800.379,772.735,739.252,609.184
2021-12-06,665.867,798.384,770.81,737.392,607.775
2021-12-07,662.622,794.385,766.966,733.81,604.95
2021-12-08,657.716,788.287,761.149,728.291,600.667
2021-12-09,651.772,781.112,754.265,721.781,595.248
2021-12-10,648.037,776.566,749.888,717.618,591.839
2021-12-11,644.967,772.813,746.28,714.199,589.009
2021-12-12,639.697,766.551,740.232,708.484,584.063
2021-12-13,634.223,760.208,734.122,702.656,579.353
2021-12-14,628.539,753.403,727.617,696.575,574.315
2021-12-15,622.702,746.464,720.933,690.147,568.9
2021-12-16,617.846,740.474,715.269,684.844,564.604
2021-12-17,613.343,735.317,710.29,680.101,560.443
2021-12-18,610.349,731.204,706.427,676.527,557.764
2021-12-19,606.587,726.648,702.021,672.307,554.123
2021-12-20,601.91,720.781,696.473,667.12,550.229
2021-12-21,596.435,714.406,690.327,661.294,545.391
2021-12-22,591.505,708.373,684.562,655.769,540.868
2021-12-23,584.608,700.372,676.789,648.276,534.425
2021-12-24,578.019,692.825,669.453,641.276,528.15
2021-12-25,573.6,687.381,664.255,636.385,524.234
2021-12-26,568.692,682.057,659.035,631.352,519.644
2021-12-27,564.679,677.36,654.528,627.073,516.048
2021-12-28,561.235,673.151,650.541,623.351,513.094
2021-12-29,558.175,668.92,646.587,619.672,510.507
2021-12-30,552.737,662.338,640.233,613.608,505.372
2021-12-31,546.841,655.052,633.292,607.149,500.369
2022-01-01,542.181,649.411,627.824,601.942,495.994
2022-01-02,537.369,643.631,622.288,596.557,491.615
2022-01-03,531.237,635.973,614.97,589.55,486.026
2022-01-04,526.211,629.926,609.166,584.09,481.545
2022-01-05,522.079,624.576,604.084,579.221,477.814
2022-01-06,512.387,613.304,593.234,568.86,468.849
2022-01-07,507.516,607.86,587.956,563.864,464.477
2022-01-08,503.83,603.391,583.739,559.878,461.476
2022-01-09,500.008,598.462,578.999,555.385,458.158
2022-01-10,495.054,592.356,573.196,549.972,453.883
2022-01-11,491.959,588.666,569.678,546.637,451.396
2022-01-12,487.201,583.009,564.23,541.449,447.089
2022-01-13,484.665,580.016,561.319,538.636,444.763
2022-01-14,482.274,577.05,558.49,535.987,442.812
2022-01-15,479.231,573.371,554.987,532.72,440.419
2022-01-16,475.362,568.655,550.429,528.267,436.71
2022-01-17,471.016,563.465,545.455,523.581,433
2022-01-18,465.185,556.743,538.97,517.503,427.769
2022-01-19,462.51,553.254,535.66,514.335,425.47
2022-01-20,455.834,545.888,528.481,507.485,419.489
2022-01-21,451.652,540.949,523.759,503.009,415.815
2022-01-22,445.471,533.486,516.618,496.216,410.297
2022-01-23,441.888,529.023,512.347,492.218,407.331
2022-01-24,435.88,521.695,505.316,485.508,401.982
2022-01-25,430.162,514.469,498.444,478.949,397.117
2022-01-26,424.672,508.003,492.168,473.036,392.109
2022-01-27,420.541,503.066,487.429,468.509,388.558
2022-01-28,416.768,498.652,483.144,464.408,385.144
2022-01-29,411.715,492.716,477.435,458.985,380.597
2022-01-30,408.865,489.122,474.019,455.727,378.124
2022-01-31,406.193,485.621,470.712,452.605,375.764
2022-02-01,402.8,481.584,466.85,448.915,372.519
2022-02-02,401.138,479.428,464.77,446.91,370.949
2022-02-03,399.538,477.339,462.746,444.952,369.453
2022-02-04,395.049,471.784,457.385,439.846,365.392
2022-02-05,391.017,466.95,452.753,435.427,361.767
2022-02-06,387.822,463.216,449.161,432.021,358.802
2022-02-07,386.383,461.159,447.229,430.23,357.792
2022-02-08,381.704,455.626,441.893,425.036,353.576
2022-02-09,374.716,447.597,434.107,417.612,347.279
2022-02-10,367.709,439.401,426.201,410.104,341.132
2022-02-11,362.004,432.953,419.972,404.187,336.208
2022-02-12,357.294,427.127,414.427,398.961,332.012
2022-02-13,354.319,423.206,410.645,395.345,329.25
2022-02-14,350.477,418.6,406.187,391.054,325.901
2022-02-15,343.054,409.866,397.763,382.983,319.311
2022-02-16,337.826,403.571,391.709,377.271,314.892
2022-02-17,330.591,395.748,384.056,369.736,308.391
2022-02-18,322.827,386.771,375.325,361.177,301.262
2022-02-19,315.425,378.598,367.318,353.339,294.511
2022-02-20,308.116,370.105,359.103,345.467,288.243
2022-02-21,303.267,364.521,353.666,340.226,284.143
2022-02-22,297.786,358.057,347.431,334.169,279.119
2022-02-23,293.048,352.323,341.86,328.86,274.731
2022-02-24,289.306,347.735,337.429,324.591,271.343
2022-02-25,285.695,343.573,333.381,320.795,268.229
2022-02-26,283.091,340.262,330.198,317.831,266.061
2022-02-27,278.654,334.886,325.083,313.065,262.375
2022-02-28,273.164,328.339,318.755,306.954,257.376
2022-03-01,267.906,321.853,312.533,301.117,252.686
2022-03-02,263.792,316.777,307.621,296.471,248.935
2022-03-03,258.193,310.291,301.351,290.445,243.984
2022-03-04,252.107,302.842,294.192,283.633,238.623
2022-03-05,246.692,296.247,287.76,277.375,233.399
2022-03-06,242.522,291.068,282.766,272.6,229.735
2022-03-07,237.674,285.394,277.274,267.361,225.526
2022-03-08,231.962,278.577,270.682,261.067,220.33
2022-03-09,228.117,273.911,266.217,256.785,217.294
2022-03-10,225.414,270.599,263.006,253.716,214.978
2022-03-11,221.942,266.702,259.155,249.973,211.843
2022-03-12,216.648,260.756,253.398,244.448,207.295
2022-03-13,214.461,258.026,250.755,241.924,205.37
2022-03-14,211.16,254.182,247,238.29,202.363
2022-03-15,206.721,248.975,241.972,233.508,198.485
2022-03-16,202.566,243.671,236.917,228.827,195.142
2022-03-17,198.562,238.718,232.223,224.423,191.835
2022-03-18,193.354,232.555,226.272,218.737,186.974
2022-03-19,190.632,229.303,223.13,215.753,184.759
2022-03-20,187.755,225.968,219.897,212.641,182.103
2022-03-21,185.484,223.017,217.056,209.982,180.046
2022-03-22,182.241,219.302,213.414,206.46,177.135
2022-03-23,178.632,214.83,209.143,202.431,174.171
2022-03-24,173.878,209.47,203.87,197.257,169.706
2022-03-25,168.773,203.292,197.919,191.568,165.3
2022-03-26,163.791,197.589,192.385,186.274,160.817
2022-03-27,159.785,192.906,187.834,181.917,157.07
2022-03-28,155.526,187.768,182.952,177.391,153.61
2022-03-29,151.688,183.161,178.452,173.02,149.905
2022-03-30,148.576,179.297,174.757,169.539,147.082
2022-03-31,146.551,177.104,172.572,167.396,144.943
2022-04-01,143.496,173.595,169.171,164.135,142.107
2022-04-02,139.643,168.72,164.514,159.693,138.52
2022-04-03,137.686,166.149,162.074,157.477,136.884
2022-04-04,135.898,163.759,159.808,155.379,135.344
2022-04-05,133.78,160.991,157.115,152.804,133.27
2022-04-06,131.722,158.056,154.337,150.188,131.412
2022-04-07,129.084,154.82,151.226,147.22,128.919
2022-04-08,126.412,151.306,147.897,144.082,126.478
2022-04-09,121.853,145.63,142.566,139.191,122.716
2022-04-10,119.402,142.72,139.699,136.402,120.183
2022-04-11,117.532,140.503,137.587,134.441,118.634
2022-04-12,115.66,138.282,135.424,132.402,116.968
2022-04-13,113.667,135.716,132.931,129.983,114.959
2022-04-14,111.222,132.652,129.994,127.176,112.929
2022-04-15,107.478,127.912,125.509,123.053,109.679
2022-04-16,106.034,126.034,123.662,121.332,108.235
2022-04-17,104.651,124.268,121.97,119.756,107.05
2022-04-18,101.002,119.371,117.335,115.417,103.74
2022-04-19,98.4693,116.119,114.256,112.569,101.421
2022-04-20,96.6369,113.424,111.737,110.24,99.9871
2022-04-21,94.8337,110.946,109.33,108.036,98.2841
2022-04-22,92.886,108.529,106.996,105.859,96.533
2022-04-23,90.638,105.639,104.228,103.25,94.3891
2022-04-24,88.1572,102.655,101.339,100.454,92.0509
2022-04-25,86.1799,100.14,98.9426,98.2192,90.4846
2022-04-26,84.329,97.6816,96.616,96.0566,88.8439
2022-04-27,81.6885,94.3455,93.4464,93.1045,86.4275
2022-04-28,80.8505,93.0813,92.2442,92.0301,85.6585
2022-04-29,79.3091,91.0753,90.3638,90.2653,84.3719
2022-04-30,78.0033,89.2589,88.6295,88.6,83.1197
2022-05-01,76.185,87.1376,86.5753,86.6411,81.3556
2022-05-02,75.0296,85.5517,84.9636,84.9403,79.8602
2022-05-03,72.9396,83.2043,82.5561,82.4823,77.3958
2022-05-04,71.9162,81.765,81.1219,81.0232,76.1343
2022-05-05,70.7294,80.2012,79.5537,79.4774,74.6819
2022-05-06,69.845,78.9789,78.3543,78.2835,73.7035
2022-05-07,68.0681,76.9283,76.2324,76.0386,71.3739
2022-05-08,64.9112,73.6821,72.9134,72.5974,67.5902
2022-05-09,62.7566,71.3044,70.4997,70.0972,64.9648
2022-05-10,61.1074,69.3527,68.5212,68.0476,62.8687
2022-05-11,59.1991,67.2523,66.3879,65.8692,60.676
2022-05-12,57.8746,65.8377,64.9517,64.4017,59.1942
2022-05-13,57.3219,65.1235,64.2363,63.6738,58.4318
2022-05-14,56.9016,64.5729,63.6816,63.0996,57.8277
2022-05-15,55.7727,63.387,62.433,61.7207,56.3559
2022-05-16,54.5144,62.1227,61.1373,60.3871,54.8412
2022-05-17,52.5784,59.6545,58.6662,57.8875,52.7838
2022-05-18,49.4562,56.1075,55.0822,54.2667,49.401
2022-05-19,47.4332,53.5556,52.5181,51.6869,47.0255
2022-05-20,45.9956,51.6443,50.6286,49.8293,45.4271
2022-05-21,45.52,51.0084,49.9675,49.1426,44.7697
2022-05-22,44.2199,49.6261,48.5341,47.6076,43.017
2022-05-23,42.6412,47.8023,46.6868,45.7264,41.2095
2022-05-24,41.5453,46.5655,45.4064,44.3566,39.7737
2022-05-25,40.2834,45.2793,44.0819,42.9493,38.2549
2022-05-26,39.1941,44.1786,42.9513,41.7611,36.9002
2022-05-27,38.0601,42.9139,41.663,40.3964,35.4503
2022-05-28,37.2222,41.8466,40.6033,39.3197,34.4464
2022-05-29,36.181,40.4255,39.2088,37.9049,33.3795
2022-05-30,35.1944,39.1643,37.946,36.6393,32.2424
2022-05-31,34.434,38.2274,36.9928,35.6554,31.3169
2022-06-01,33.4716,37.1076,35.8823,34.5319,30.302
2022-06-02,32.4401,36.035,34.8193,33.4811,29.1443
2022-06-03,32.0157,35.3498,34.1749,32.8378,28.7045
2022-06-04,31.074,34.2156,33.1095,31.8527,27.9085
2022-06-05,30.4299,33.361,32.2944,31.0484,27.2476
2022-06-06,28.7116,31.1917,30.2414,29.0865,25.5486
2022-06-07,27.5418,29.5409,28.6709,27.5362,24.4554
2022-06-08,25.7566,27.5297,26.7163,25.6115,22.6526
2022-06-09,25.213,26.9895,26.1817,25.1159,22.2489
2022-06-10,24.4371,26.0639,25.2816,24.2219,21.3851
2022-06-11,24.0754,25.593,24.8082,23.7368,20.9006
2022-06-12,23.3811,24.8667,24.0845,23.0255,20.196
2022-06-13,23.1785,24.6388,23.8535,22.7937,19.9137
2022-06-14,22.6001,23.9401,23.1909,22.1534,19.3364
2022-06-15,21.592,22.9607,22.1956,21.1046,18.2356
2022-06-16,20.2596,21.6346,20.8788,19.7746,16.8922
2022-06-17,19.3024,20.5875,19.809,18.67,15.649
2022-06-18,19.1652,20.3566,19.5901,18.4619,15.5241
2022-06-19,18.852,19.9232,19.1591,18.0063,15.0354
2022-06-20,18.5881,19.6148,18.8708,17.7423,14.7764
2022-06-21,18.4525,19.4245,18.6978,17.5865,14.6734
2022-06-22,18.2177,19.2971,18.5629,17.4414,14.5376
2022-06-23,18.0958,19.189,18.4213,17.2758,14.2778
2022-06-24,18.028,19.1263,18.356,17.2052,14.254
2022-06-25,17.7741,18.8294,18.0811,16.964,14.1327
2022-06-26,17.2698,18.2326,17.5102,16.4043,13.6981
2022-06-27,16.7264,17.6671,16.9671,15.896,13.3046
2022-06-28,16.5156,17.3995,16.6984,15.6302,13.0461
2022-06-29,16.2438,17.0132,16.3369,15.2931,12.8359
2022-06-30,15.3639,15.8044,15.2317,14.2836,12.0725
